rank,prev_rank,name,league,off,def,spi
39,37,West Ham United,Barclays Premier League,2.01,0.75,73.71
40,43,TSG Hoffenheim,German Bundesliga,2.19,0.91,73.12
41,41,Brighton and Hove Albion,Barclays Premier League,1.89,0.69,73.11
42,46,Getafe,Spanish Primera Division,1.61,0.51,72.71
43,42,Eintracht Frankfurt,German Bundesliga,2.15,0.9,72.58
44,44,Athletic Bilbao,Spanish Primera Division,1.8,0.65,72.45
45,45,Shakhtar Donetsk,UEFA Europa League,2.23,1.0,71.75
46,52,Lazio,Italy Serie A,2.08,0.9,71.45
47,47,Olympiacos,Greek Super League,1.91,0.78,71.43
48,40,AS Monaco,French Ligue 1,2.05,0.89,70.98
49,48,Club Brugge,Belgian Jupiler League,1.9,0.81,70.47
50,49,Flamengo,Brasileiro Série A,2.12,0.97,70.32
51,51,1. FC Union Berlin,German Bundesliga,1.87,0.8,70.06
52,55,VfB Stuttgart,German Bundesliga,2.02,0.93,69.57
53,57,Rangers,Scottish Premiership,1.97,0.9,69.44
54,60,Real Betis,Spanish Primera Division,1.84,0.82,68.88
55,56,Levante,Spanish Primera Division,1.88,0.86,68.76
56,50,Eibar,Spanish Primera Division,1.65,0.7,68.41
57,54,Hertha Berlin,German Bundesliga,1.9,0.92,67.78
58,59,Young Boys,Swiss Raiffeisen Super League,2.01,1.02,67.57
59,70,SC Freiburg,German Bundesliga,1.96,0.98,67.5
60,64,Stade Rennes,French Ligue 1,1.69,0.76,67.44
61,61,Sporting CP,Portuguese Liga,1.73,0.81,67.07
62,58,Leeds United,Barclays Premier League,2.08,1.09,67.03
63,62,Marseille,French Ligue 1,1.68,0.78,66.93
64,72,PSV,Dutch Eredivisie,2.08,1.1,66.8
65,83,Fiorentina,Italy Serie A,1.78,0.87,66.65
66,65,Dinamo Zagreb,UEFA Europa League,1.98,1.04,66.47
67,68,Burnley,Barclays Premier League,1.67,0.8,66.19
68,71,Granada,Spanish Primera Division,1.69,0.82,66.14
69,66,FC Krasnodar,Russian Premier Liga,1.86,0.95,66.14
70,80,Fulham,Barclays Premier League,1.71,0.83,66.13
71,63,Osasuna,Spanish Primera Division,1.74,0.87,65.93
72,53,Crystal Palace,Barclays Premier League,1.79,0.92,65.48
73,73,River Plate,Argentina Primera Division,1.74,0.88,65.48
74,79,Alavés,Spanish Primera Division,1.64,0.81,65.47
75,75,Udinese,Italy Serie A,1.63,0.8,65.46
76,69,Valencia,Spanish Primera Division,1.85,0.98,65.34
77,76,Sassuolo,Italy Serie A,1.92,1.05,65.2
78,77,CSKA Moscow,Russian Premier Liga,1.72,0.89,64.9
79,78,São Paulo,Brasileiro Série A,1.58,0.78,64.85
80,74,Grêmio,Brasileiro Série A,1.63,0.82,64.84
81,67,Cadiz,Spanish Primera Division,1.55,0.76,64.63
82,81,Slavia Prague,UEFA Europa League,1.92,1.08,64.42
83,86,Braga,Portuguese Liga,1.84,1.01,64.35
84,87,SD Huesca,Spanish Primera Division,1.63,0.85,64.27
85,93,Werder Bremen,German Bundesliga,1.74,0.95,63.9
86,85,AFC Bournemouth,English League Championship,1.74,0.97,63.55
87,91,Celtic,Scottish Premiership,2.03,1.21,63.52
88,89,Dynamo Kiev,UEFA Europa League,1.87,1.08,63.45
89,84,Newcastle,Barclays Premier League,1.68,0.92,63.45
90,88,LASK Linz,Austrian T-Mobile Bundesliga,1.82,1.05,63.1
91,97,Brentford,English League Championship,1.59,0.86,63.08
92,82,Sheffield United,Barclays Premier League,1.65,0.91,62.98
93,92,FC Cologne,German Bundesliga,1.76,1.01,62.81
94,90,Palmeiras,Brasileiro Série A,1.57,0.88,62.01
95,95,Spartak Moscow,Russian Premier Liga,1.65,0.95,61.89
96,98,Guangzhou Evergrande,Chinese Super League,1.87,1.15,61.79
97,103,Bodo/Glimt,Norwegian Tippeligaen,2.33,1.55,61.76
98,96,Lens,French Ligue 1,1.64,0.96,61.64
99,94,Real Valladolid,Spanish Primera Division,1.61,0.93,61.51
100,113,Galatasaray,Turkish Turkcell Super Lig,1.74,1.05,61.5
101,100,Espanyol,Spanish Segunda Division,1.55,0.89,61.42
102,107,FC Midtjylland,Danish SAS-Ligaen,1.77,1.08,61.35
103,101,Sampdoria,Italy Serie A,1.78,1.1,61.15
104,102,Kawasaki Frontale,Japanese J League,1.93,1.23,61.07
105,99,FC Augsburg,German Bundesliga,1.63,0.97,61.0
106,106,PAOK Salonika,Greek Super League,1.47,0.85,60.57
107,115,Bologna,Italy Serie A,1.74,1.09,60.55
108,105,Verona,Italy Serie A,1.61,0.98,60.43
109,110,Boca Juniors,Argentina Primera Division,1.47,0.87,60.25
110,104,AZ,Dutch Eredivisie,1.92,1.28,59.88
111,109,Mainz,German Bundesliga,1.77,1.15,59.65
112,111,Atletico Mineiro,Brasileiro Série A,1.62,1.02,59.63
113,116,Angers,French Ligue 1,1.46,0.89,59.46
114,114,Watford,English League Championship,1.56,0.98,59.37
115,126,Feyenoord,Dutch Eredivisie,1.8,1.2,59.21
116,121,Internacional,Brasileiro Série A,1.41,0.85,59.21
117,129,St Etienne,French Ligue 1,1.48,0.94,58.8
118,108,Strasbourg,French Ligue 1,1.61,1.05,58.57
119,123,Genk,Belgian Jupiler League,1.91,1.33,58.51
120,122,Norwich City,English League Championship,1.67,1.11,58.47
121,118,Bordeaux,French Ligue 1,1.43,0.9,58.39
122,119,Shanghai SIPG,Chinese Super League,1.69,1.13,58.37
123,120,Beijing Guoan,Chinese Super League,1.76,1.21,58.34
124,117,Montpellier,French Ligue 1,1.67,1.13,58.24
125,139,Besiktas,Turkish Turkcell Super Lig,1.86,1.31,57.8
126,127,Torino,Italy Serie A,1.7,1.17,57.75
127,143,Molde,Norwegian Tippeligaen,2.09,1.53,57.72
128,125,Basel,Swiss Raiffeisen Super League,1.69,1.18,57.55
129,124,Elche,Spanish Primera Division,1.51,1.01,57.43
130,128,AEK Athens,Greek Super League,1.52,1.02,57.39
131,134,Metz,French Ligue 1,1.42,0.94,57.19
132,130,Sparta Prague,UEFA Europa League,1.74,1.25,56.89
133,135,Brest,French Ligue 1,1.7,1.22,56.76
134,131,Maccabi Tel-Aviv,UEFA Europa League,1.48,1.01,56.68
135,132,Tigres UANL,Mexican Primera Division Torneo Apertura,1.49,1.03,56.58
136,146,Arminia Bielefeld,German Bundesliga,1.5,1.05,56.33
137,142,Benevento,Italy Serie A,1.52,1.07,56.19
138,112,Nice,French Ligue 1,1.5,1.06,56.1
139,136,Malmo FF,Swedish Allsvenskan,1.73,1.27,56.09
140,138,Red Star Belgrade,UEFA Europa League,1.75,1.31,55.76
141,149,Reims,French Ligue 1,1.47,1.04,55.68
142,133,Parma,Italy Serie A,1.55,1.13,55.42
143,145,Cagliari,Italy Serie A,1.65,1.26,54.7
144,148,Sochi,Russian Premier Liga,1.45,1.07,54.58
145,150,León,Mexican Primera Division Torneo Apertura,1.49,1.11,54.56
146,137,West Bromwich Albion,Barclays Premier League,1.49,1.12,54.39
147,144,Nantes,French Ligue 1,1.48,1.12,54.13
148,140,Cardiff City,English League Championship,1.43,1.08,54.07
149,153,Spezia,Italy Serie A,1.53,1.18,54.01
